,species,age,G_diameter,G_height,G_leaf_area,G_net,G_total,wood_density,LMF,P_area,N_area,LMA,P_mass,N_mass
43,HEPU,5,0.371666667,26.66666667,0.041452592,0.243154597,0.555790258,0.83,0.351425045,NA,NA,222.3333333,NA,NA
44,HEPU,9,0.546190476,37.14285714,-0.29743557,0.701757199,1.317044665,0.83,0.27579913,0.023730256,3.21376,264,8.99E-05,0.012173333
45,PELA,7,2.735714286,190.7142857,351.1476805,20.3731953,28.65147489,0.6675,0.650903062,0.025386183,1.605175,216.6666667,0.000117167,0.0074085
46,PELA,1.4,0.518958333,36.0625,31.37319413,0.594034405,0.597831739,0.6675,0.771989332,0.060899833,1.379333333,166.6666667,0.000365399,0.008276
47,PELA,2.4,1.182083333,101.25,144.8252526,3.259514067,2.898490815,0.6675,0.787911413,0.03544074,1.66176,180,0.000196893,0.009232
48,PELA,5,1.38952381,111.8571429,158.1977696,6.001563992,6.609820916,0.6675,0.769730497,NA,NA,253.3333333,NA,NA
49,PELA,9,2.069047619,130,219.7938147,26.7174985,42.38907334,0.6675,0.515961664,0.03577665,2.52525,233.3333333,0.000153329,0.0108225
50,PELA,32,0.725,-123.75,-38.39364865,30.56922477,63.70035431,0.6675,0.126041576,0.032918448,2.5324775,235,0.000140079,0.0107765
51,PEPU,7,1.441904762,29.85714286,35.33021694,5.488708707,9.967784306,0.6575,0.451378495,0.05248546,4.08935,340,0.000154369,0.0120275
52,PEPU,2.4,0.544285714,75.42857143,17.67123565,0.630863581,0.692625486,0.6575,0.837839185,0.049904689,4.440868584,290.6708067,0.000171688,0.015278
53,PEPU,1.4,0.617916667,56.5,29.69068709,0.546239232,0.655637112,0.6575,0.842945591,0.02995827,1.033921667,156.6666667,0.000191223,0.0065995
54,PEPU,5,1.236111111,55.66666667,31.11238887,2.106797647,3.633492798,0.6575,0.637186669,NA,NA,290,NA,NA
55,PEPU,9,1.242380952,95.42857143,50.07725791,8.465972248,14.79361181,0.6575,0.465023556,0.025511555,2.991806667,343.3333333,7.43E-05,0.008714
56,PEPU,32,0.896111111,67.16666667,1.801304701,12.72026549,18.64604272,0.6575,0.207731375,0.036501663,4.971423333,396.6666667,9.20E-05,0.012533
57,PHPH,7,1.236666667,31,20.18893596,4.009049418,7.209100486,0.85,0.473700903,0.022387227,2.40816,193.3333333,0.000115796,0.012456
58,PHPH,2.4,1.549444444,154,72.76373197,2.703831696,3.079741974,0.85,0.55360314,0.04207382,1.140955,155,0.000271444,0.007361
59,PHPH,5,0.72,43.42857143,17.39833034,0.95549087,1.923500454,0.85,0.515906004,NA,NA,170,NA,NA
60,PHPH,9,0.797619048,-43.57142857,5.252933911,3.867022267,7.950257925,0.85,0.348036385,0.021692773,3.04413,193.3333333,0.000112204,0.0157455
61,PHPH,32,0.454285714,-38.57142857,-5.858562152,3.905058986,6.739811384,0.85,0.211006792,0.016059038,2.0633,156.6666667,0.000102505,0.01317
62,PILI,7,0.24984127,-40.71428571,-0.749916923,0.122073329,0.282688389,0.8425,0.081185535,0.04500226,1.46775,95,0.000473708,0.01545
63,PILI,1.4,0.861111111,203.3333333,11.28229709,0.286714833,0.43916021,0.8425,0.547344829,0.01538593,0.78995,70,0.000219799,0.011285
64,PILI,2.4,0.868333333,77.5,-2.476221583,0.253238001,0.482699859,0.8425,0.336065075,0.030368888,1.1619825,105,0.000289228,0.0110665
65,PILI,5,0.840555556,62.16666667,-4.294598924,0.369392323,0.812035761,0.8425,0.281440699,NA,NA,95,NA,NA
66,PUTU,7,0.619047619,41,-7.198384884,1.645791707,4.013322031,0.886666667,0.357390037,0.010773984,1.22356,104,0.000103596,0.011765
67,PUTU,1.4,1.989270833,214.5,168.032284,2.429441,2.932557331,0.886666667,0.613902012,0.0107958,0.7785,75,0.000143944,0.01038
68,PUTU,2.4,1.239047619,152.4285714,73.82208492,2.142182879,2.993562132,0.886666667,0.515403403,0.009616495,1.26763,98,9.81E-05,0.012935
69,PUTU,5,0.867142857,69.42857143,3.177194743,1.212001389,2.452315216,0.886666667,0.396018655,NA,NA,119.6666667,NA,NA
70,PUTU,9,1.186190476,37.14285714,-12.85298881,3.364124852,6.476757073,0.886666667,0.241125087,0.014001395,1.43242,127.6666667,0.000109672,0.01122
71,PUTU,32,0.388888889,47.5,-3.470656418,2.40783586,3.791276549,0.886666667,0.070315472,0.00987258,1.041193333,113.3333333,8.71E-05,0.009187
72,LEES,7,0.437619048,42.28571429,2.797631695,0.551507782,1.520871546,0.79,0.311077498,0.02225237,1.1648,140,0.000158946,0.00832
73,LEES,1.4,1.039583333,186.125,38.91216412,0.616995823,0.183690028,0.79,0.651198682,0.006119727,0.716333333,93.33333333,6.56E-05,0.007675
74,LEES,2.4,1.014,145.4,32.52322685,1.289853929,1.781174854,0.79,0.550203181,0.02977221,1.5262,130,0.000229017,0.01174
75,LEES,5,0.523333333,49.42857143,3.169326049,0.296611636,0.653133375,0.79,0.491025906,NA,NA,150,NA,NA
76,LEES,9,0.672380952,44.28571429,3.305158167,1.616650458,4.155986305,0.79,0.276672292,0.02006823,1.00451,130,0.000154371,0.007727
77,LEES,32,0.356,55.6,-0.113361439,1.132470051,2.465603668,0.79,0.149353657,0.02742614,1.2033,140,0.000195901,0.008595
